20079,Herschel  5529,KAPPA AQR,KAPPA,,22 37.8,-04 13,AQR,,5.3,8.8,98.3,247,17,257/ 258,K0,1925,,Distances 103'' and 98''.
20080,Burnham 279,OMEGA AQR,OMEGA,,23 42.7,-14 31,AQR,,4.6,10.6,5.3,82,17,260/ 304,A0,1965,16944,A is a sp-bin.
20081,Herschel 97,TAU AQR,TAU,,22 49.6,-13 35,AQR,,4.2,8.7,132.5,293,17,303,K5,1825,,
20082,Struve 2909,ZETA AQR,ZETA,,22 28.8,-00 01,AQR,,4.4,4.6,1.8,217,17,257,F2,1982,15971,P = 856 yr.- a = 5.06''- motion retrograde.  W/W
20083,Herschel  4955,ALPHA ARA,ALPHA,,17 31.8,-49 52,ARA,,3,11,55.6,173,22,408,B3,1913,,A sp-bin.
20084,Herschel  4951,DELTA ARA,DELTA,,17 31.1,-60 40,ARA,,3.8,11.8,47.4,313,26,433/ 434,B8,1917,,
20085,Harvard 263,EPSLN ARA,EPSLN,,17 03.2,-53 13,ARA,,5.4,13,25,20,26,433,F5,1800,,Duplicity doubtful.
20086,Herschel  4942,GAMMA ARA,GAMMA,,17 25.4,-56 22,ARA,AB,3.5,10.5,17.9,328,26,433,B1,1872,,
20087,Harvard 271,IOTA ARA,IOTA,,17 23.3,-47 27,ARA,,5.5,10.8,42.8,62,22,408,B3,1900,,A is var.
20088,Struve 174,1 ARI,1,,01 50.1, 22 16,ARI,,6.2,7.4,2.9,165,4,128/ 129,F5,1981,1457,Sp-bin?  Y/B
20089,Struve 208,10 ARI,10,,02 03.7, 25 55,ARI,AB,5.8,8,1,322,4,129,F5,1981,1631,P about 300 yr.- a about 1.3''- motion direct.
20090,Herschel 69,14 ARI,14,,02 09.4, 25 56,ARI,AB,5.1,8.7,93.2,36,4,129,F0,1879,,h VI 69.
20091,,14AC ARI,14AC,,02 09.4, 25 56,ARI,AC,5.2,7.7,105.9,278,4,129,F0,1875,,
20092,Struve 5,30 ARI,30,,02 37.0, 24 39,ARI,,6.6,7.4,38.3,275,4,130,F5,1973,1982,STF 5- App I. A is a sp-bin. W/B
20093,Struve 289,33 ARI,33,,02 40.6, 27 03,ARI,,5.5,8.4,28.6,360,4,93/ 130,A2,1831,2033,A sp-bin. BW/B
20094,StruveO 47,41 ARI,41,,02 50.0, 27 15,ARI,APxB,3.7,10.8,24.6,277,4,93/ 130,B8,1922,2159,StruveO 47 rej.
20095,Struve 346,52 ARI,52,,03 05.5, 25 15,ARI,AB,6.9,6.9,0.2,244,4,131,B8,1981,2336,P = 227 yr.- a = 0.47''- motion direct.
20096,Burnham 878,66 ARI,66,,03 28.4, 22 47,ARI,AC,6.1,12.5,147.7,228,4,131/ 132,G5,1963,2552,A is a sp/occ-bin.
20097,Struve 333,EPSILON ARI,EPSILON,,02 59.2, 21 20,ARI,AB,5.2,5.5,1.5,207,4,130/ 131,A2,1981,2257,var velocity suspected.
20098,Struve 180,GAMMA ARI,GAMMA,,01 53.5, 19 17,ARI,AB,4.8,4.8,7.8,2,10,128/ 129,A0,1969,1507,A is a var of the Alpha CVn type.  W/W NICE MATCHEd PR
20099,Herschel 12,LAMBDA ARI,LAMBDA,,01 58.0, 23 35,ARI,AB,4.9,7.7,38.5,47,4,129,A5,1972,1563,h V 12. A is a Beta Lyrae-type and sp-bin.  Y/B
20100,Struve 311,PI ARI,PI,,02 49.3, 17 28,ARI,AB,5.3,8.8,3.2,118,10,130/ 175,B5,1832,2151,A is a sp/occ bin.
20101,StruveO 92,5 AUR,5,,05 00.3, 39 24,AUR,,6,9.7,3.8,275,5,65/ 96/ 97,F5,1976,3589,
20102,Burnham 1046,9 AUR,9,,05 06.6, 51 36,AUR,AB,5,12.2,5.2,82,1,40,F0,1958,3675,A is a sp-bin.
20103,Struve 653,14 AUR,14,,05 15.4, 32 40,AUR,AB,5.1,11.1,11.1,352,5,97,A2,1909,3824,A is the Delta Scuti var- KW Aur- and a sp-bin. Y/O
20104,StruveO 103,16 AUR,16,,05 18.2, 33 22,AUR,,4.8,10.6,4.2,56,5,97,K0,1848,3872,A is a long-period sp-bin.
20105,Hough 18,18 AUR,18,,05 19.4, 33 59,AUR,,6.5,11.8,4.1,165,5,97,A5,1883,3893,
20106,Burnham 90,26 AUR,26,,05 38.6, 30 30,AUR,ABXD,5.5,11.5,33.1,114,5,97/ 98,,1915,4229,
20107,Hussey 559,35 AUR,35,,06 04.5, 51 34,AUR,BC,9,10,0.6,313,1,41,,1981,4633,
20108,Struve 845,41 AUR,41,,06 11.7, 48 42,AUR,,6.1,6.8,7.7,356,5,67,A0,1973,4773,W/BW
20109,Struve 974,59 AUR,59,,06 53.1, 38 51,AUR,AB,6.2,9.5,22.3,223,5,68/ 99,F2,1831,5534,A is a Delta Scuti-type var- OX Aur.
20110,Burnham 901,65 AUR,65,,07 22.1, 36 45,AUR,AB,5.2,11.7,11.4,10,5,100,K0,1934,6009,
20111,South 528,AK AUR,AK,,06 39.3, 31 35,AUR,,8.7,9.9,81.7,26,5,99,,1825,,A is an Algol-type system
20112,Herschel 88,BETA AUR,BETA,,05 59.5, 44 56,AUR,AB,2.1,10.6,184.6,39,5,66/ 67,A0,1841,4556,h VI 88. An Algol-type system.
20113,,DELTA AUR,DELTA,,05 59.4, 54 16,AUR,AB,3.9,9.7,115.4,271,1,41,K0,1908,,
20114,Struve 3,LAMBDA AUR,LAMBDA,,05 19.1, 40 07,AUR,AC,4.8,12.1,41.7,268,5,66,G0,1934,3886,STF 3- App II.
20115,Herschel 90,NU AUR,NU,,05 51.5, 39 08,AUR,,4.2,9.5,54.6,206,5,66/ 98,K0,1878,4440,h V 90.
20116,Struve 616,OMEGA AUR,OMEGA,,04 59.3, 37 53,AUR,,5.1,8.1,5.3,1,5,96/ 97,A0,1973,3572,
20117,,PHI AUR,PHI,,05 27.6, 34 28,AUR,AC,5.3,10.7,61.3,71,5,97,K0,1908,,
20118,,PI AUR,PI,,04 51.7, 45 51,AUR,,7.1,12.4,195.9,82,5,65,G0,1925,,Distances 112.5'' and 94.6''. A is sp-bin.
20119,,PSI AUR,PSI,,06 50.8, 41 47,AUR,AB,5,10,40.9,100,5,67/ 68,K0,1925,,
20120,Burnham 888,SIGMA AUR,SIGMA,,05 24.7, 37 23,AUR,AB,5.2,11.2,8.7,167,5,97,K5,1922,3984,
20121,Burnham 192,TAU AUR,TAU,,05 49.1, 39 11,AUR,AB,4.6,11.6,39.4,352,5,66/ 98,K0,1877,4398,
20122,StruveO 545,THETA AUR,THETA,,05 59.7, 37 12,AUR,AB,2.7,7.2,3.5,314,5,98,A0,1979,4566,A is a var of the Alpha CVn type.BW/BW
20123,Struve 1772,1 BOO,1,,13 40.7, 19 57,BOO,AB,5.7,8.6,4.7,136,14,151,A2,1976,8991,b is a metallic-line star.  B/B
20124,,18 BOO,18,,14 19.3, 13 00,BOO,,5.3,10.2,156.4,217,14,197,F0,1887,,
